State,Date,Handle,Revenue,Hold,Taxes
arkansas,19-Oct,2216369,380006,17.10%,49401.0
arkansas,19-Nov,2978235,181497,6.10%,23595.0
arkansas,19-Dec,2633806,455368,17.30%,59198.0
arkansas,20-Jan,2587732,254811,9.80%,33263.0
arkansas,20-Feb,4294366,411589,9.60%,67494.0
arkansas,20-Mar,1588403,222373,14.00%,38310.0
arkansas,20-May,509,-115000,-22.60%,-15.0
arkansas,20-Jun,1189,10,0.80%,1.0
arkansas,20-Jul,179315,-19633,-10.90%,-2552.0
arkansas,20-Aug,1008992,69625,6.90%,9051.0
arkansas,20-Sep,3958748,397095,10.00%,51622.0
arkansas,20-Oct,6559859,940514,14.30%,122267.0
arkansas,20-Nov,6288249,975984,15.50%,126878.0
arkansas,20-Dec,6415446,1054272,16.40%,137055.0
iowa,19-Aug,8756246,2161688,25.20%,145914.0
iowa,19-Sep,38528921,4956347,12.90%,334553.0
iowa,19-Oct,46500443,5658243,12.20%,381931.0
iowa,19-Nov,59344806,3599750,6.10%,242983.0
iowa,19-Dec,59258838,2904257,4.90%,196037.0
iowa,20-Jan,58027141,3234794,5.60%,218349.0
iowa,20-Feb,56920783,755334,1.30%,50985.0
iowa,20-Mar,19576985,1171164,6.00%,79171.0
iowa,20-Apr,1568497,150331,9.60%,9502.0
iowa,20-May,6976637,501062,7.20%,32111.0
iowa,20-Jun,12711201,620740,4.90%,42033.0
iowa,20-Jul,22859622,2244021,9.80%,151919.0
iowa,20-Aug,50313674,3003903,6.00%,202316.0
iowa,20-Sep,72397241,5167819,7.10%,348828.0
iowa,20-Oct,81902416,9098995,11.10%,612967.0
iowa,20-Nov,87169919,8144096,9.30%,549726.0
iowa,20-Dec,104815630,7537004,7.20%,508748.0
indiana,19-Sep,35215416,8558974,24.30%,813103.0
indiana,19-Oct,91697393,11538533,12.60%,1096161.0
indiana,19-Nov,147276912,10593321,7.20%,1006365.0
indiana,19-Dec,161808924,12068114,7.50%,1146471.0
indiana,20-Jan,171049250,12223222,7.10%,1161206.0
indiana,20-Feb,187186221,10381954,5.50%,986286.0
indiana,20-Mar,74818802,5495640,7.30%,522085.0
indiana,20-Apr,26304128,1559884,5.90%,148189.0
indiana,20-May,37334940,3179968,8.50%,302097.0
indiana,20-Jun,29783580,2922108,9.80%,277601.0
indiana,20-Jul,70876622,6658465,9.40%,632554.0
indiana,20-Aug,169018238,9834881,5.80%,934314.0
